language,count,date
english,2580929,2017-01
chinese,73238,2017-01
japanese,29150,2017-01
german,17131,2017-01
russian,19397,2017-01
french,13110,2017-01
korean,7617,2017-01
spanish,11820,2017-01
dutch,5691,2017-01
portuguese,9244,2017-01
vietnamese,4914,2017-01
italian,3177,2017-01
hebrew,340,2017-01
persian,300,2017-01
bengali,14,2017-01
greek,342,2017-01
ukrainian,1340,2017-01
urdu,14,2017-01
thai,273,2017-01
bulgarian,134,2017-01
belarusian,30,2017-01
arabic,170,2017-01
punjabi,38,2017-01
georgian,14,2017-01
tamil,12,2017-01
armenian,6,2017-01
gujarati,2,2017-01
telugu,1,2017-01
hindi,1,2017-01
marathi,3,2017-01
english,2629572,2017-02
chinese,80794,2017-02
japanese,29473,2017-02
russian,20034,2017-02
german,17690,2017-02
korean,10970,2017-02
french,13390,2017-02
spanish,13131,2017-02
portuguese,9079,2017-02
italian,2814,2017-02
vietnamese,4722,2017-02
ukrainian,1429,2017-02
dutch,4588,2017-02
greek,464,2017-02
persian,158,2017-02
hebrew,192,2017-02
bulgarian,164,2017-02
arabic,189,2017-02
belarusian,33,2017-02
thai,382,2017-02
marathi,15,2017-02
hindi,13,2017-02
bengali,22,2017-02
urdu,15,2017-02
armenian,7,2017-02
punjabi,2,2017-02
tamil,3,2017-02
gujarati,1,2017-02
georgian,32,2017-02
telugu,1,2017-02
english,2976492,2017-03
chinese,109215,2017-03
japanese,31260,2017-03
russian,23077,2017-03
german,20168,2017-03
spanish,15859,2017-03
french,15350,2017-03
korean,9996,2017-03
portuguese,11730,2017-03
dutch,5859,2017-03
italian,2467,2017-03
vietnamese,5969,2017-03
ukrainian,1584,2017-03
persian,186,2017-03
greek,837,2017-03
thai,459,2017-03
arabic,114,2017-03
bulgarian,251,2017-03
armenian,14,2017-03
punjabi,12,2017-03
georgian,82,2017-03
tamil,10,2017-03
belarusian,40,2017-03
hebrew,203,2017-03
bengali,12,2017-03
urdu,14,2017-03
telugu,3,2017-03
hindi,6,2017-03
marathi,4,2017-03
english,2618558,2017-04
chinese,97036,2017-04
japanese,30280,2017-04
russian,23933,2017-04
spanish,15007,2017-04
french,12364,2017-04
korean,10481,2017-04
german,14623,2017-04
portuguese,11813,2017-04
vietnamese,5513,2017-04
ukrainian,1110,2017-04
dutch,5207,2017-04
italian,2373,2017-04
persian,358,2017-04
thai,312,2017-04
greek,378,2017-04
hebrew,491,2017-04
bulgarian,132,2017-04
arabic,166,2017-04
bengali,7,2017-04
armenian,13,2017-04
tamil,15,2017-04
marathi,1,2017-04
georgian,67,2017-04
belarusian,45,2017-04
telugu,1,2017-04
urdu,6,2017-04
punjabi,8,2017-04
gujarati,1,2017-04
hindi,3,2017-04
english,2685112,2017-05
chinese,98329,2017-05
japanese,34230,2017-05
russian,22210,2017-05
french,13109,2017-05
german,16073,2017-05
dutch,4747,2017-05
italian,2748,2017-05
korean,10701,2017-05
portuguese,13547,2017-05
vietnamese,4767,2017-05
spanish,17283,2017-05
ukrainian,1818,2017-05
greek,428,2017-05
hebrew,732,2017-05
urdu,13,2017-05
thai,376,2017-05
persian,254,2017-05
georgian,146,2017-05
bulgarian,465,2017-05
belarusian,32,2017-05
bengali,3,2017-05
arabic,136,2017-05
tamil,9,2017-05
hindi,3,2017-05
marathi,7,2017-05
armenian,5,2017-05
punjabi,1,2017-05
telugu,1,2017-05
english,2693581,2017-06
chinese,106085,2017-06
japanese,34036,2017-06
russian,18113,2017-06
german,16540,2017-06
korean,9774,2017-06
spanish,16028,2017-06
french,12298,2017-06
portuguese,12652,2017-06
hebrew,875,2017-06
dutch,5403,2017-06
italian,2184,2017-06
vietnamese,7752,2017-06
georgian,127,2017-06
bulgarian,242,2017-06
ukrainian,731,2017-06
greek,537,2017-06
thai,234,2017-06
persian,219,2017-06
tamil,35,2017-06
urdu,10,2017-06
arabic,127,2017-06
belarusian,17,2017-06
marathi,7,2017-06
telugu,4,2017-06
gujarati,3,2017-06
bengali,5,2017-06
hindi,6,2017-06
armenian,7,2017-06
punjabi,1,2017-06
english,2669130,2017-07
chinese,113384,2017-07
japanese,33985,2017-07
german,15451,2017-07
russian,15322,2017-07
korean,10319,2017-07
spanish,10729,2017-07
portuguese,11569,2017-07
french,9705,2017-07
dutch,3421,2017-07
vietnamese,6334,2017-07
italian,2197,2017-07
ukrainian,1117,2017-07
georgian,58,2017-07
greek,260,2017-07
persian,238,2017-07
bulgarian,109,2017-07
arabic,176,2017-07
hebrew,1319,2017-07
belarusian,20,2017-07
thai,369,2017-07
bengali,17,2017-07
armenian,1,2017-07
tamil,17,2017-07
urdu,10,2017-07
hindi,2,2017-07
marathi,5,2017-07
telugu,5,2017-07
english,2779428,2017-08
chinese,123261,2017-08
russian,23962,2017-08
japanese,31339,2017-08
german,14525,2017-08
korean,12497,2017-08
portuguese,14825,2017-08
spanish,12713,2017-08
french,9173,2017-08
dutch,3344,2017-08
vietnamese,4414,2017-08
italian,2277,2017-08
persian,226,2017-08
hebrew,1151,2017-08
thai,551,2017-08
arabic,209,2017-08
ukrainian,740,2017-08
belarusian,20,2017-08
greek,205,2017-08
marathi,18,2017-08
urdu,13,2017-08
bulgarian,118,2017-08
tamil,9,2017-08
georgian,63,2017-08
armenian,4,2017-08
hindi,7,2017-08
bengali,4,2017-08
telugu,2,2017-08
gujarati,1,2017-08
punjabi,1,2017-08
english,2666659,2017-09
chinese,121693,2017-09
japanese,31206,2017-09
russian,19405,2017-09
spanish,17115,2017-09
german,14507,2017-09
portuguese,13985,2017-09
korean,9217,2017-09
french,10242,2017-09
vietnamese,3074,2017-09
italian,3830,2017-09
dutch,4248,2017-09
hebrew,523,2017-09
bulgarian,226,2017-09
greek,311,2017-09
persian,167,2017-09
ukrainian,821,2017-09
thai,337,2017-09
arabic,156,2017-09
armenian,6,2017-09
punjabi,11,2017-09
georgian,32,2017-09
urdu,9,2017-09
bengali,25,2017-09
tamil,16,2017-09
belarusian,16,2017-09
marathi,6,2017-09
telugu,3,2017-09
hindi,6,2017-09
english,3031624,2017-10
chinese,122213,2017-10
japanese,36441,2017-10
russian,24522,2017-10
spanish,19079,2017-10
german,18363,2017-10
portuguese,18560,2017-10
french,13048,2017-10
korean,9678,2017-10
italian,3913,2017-10
dutch,4781,2017-10
vietnamese,4647,2017-10
hebrew,570,2017-10
ukrainian,790,2017-10
greek,854,2017-10
bulgarian,356,2017-10
persian,189,2017-10
thai,826,2017-10
arabic,129,2017-10
tamil,4,2017-10
georgian,33,2017-10
bengali,14,2017-10
urdu,15,2017-10
belarusian,30,2017-10
marathi,3,2017-10
hindi,4,2017-10
armenian,6,2017-10
telugu,6,2017-10
punjabi,1,2017-10
english,2955825,2017-11
chinese,129716,2017-11
japanese,37792,2017-11
russian,30781,2017-11
german,18908,2017-11
spanish,20830,2017-11
portuguese,17362,2017-11
korean,12418,2017-11
french,13135,2017-11
italian,3729,2017-11
dutch,5782,2017-11
vietnamese,4747,2017-11
thai,1434,2017-11
ukrainian,853,2017-11
greek,680,2017-11
hebrew,487,2017-11
persian,256,2017-11
urdu,15,2017-11
georgian,94,2017-11
arabic,121,2017-11
bulgarian,231,2017-11
armenian,5,2017-11
belarusian,38,2017-11
punjabi,1,2017-11
hindi,6,2017-11
tamil,4,2017-11
marathi,3,2017-11
bengali,4,2017-11
gujarati,1,2017-11
telugu,1,2017-11
english,2507054,2017-12
chinese,130648,2017-12
japanese,38424,2017-12
russian,25562,2017-12
german,16605,2017-12
korean,10999,2017-12
spanish,12779,2017-12
vietnamese,5784,2017-12
portuguese,11175,2017-12
french,11606,2017-12
hebrew,956,2017-12
italian,3007,2017-12
dutch,4268,2017-12
ukrainian,1348,2017-12
persian,226,2017-12
arabic,215,2017-12
greek,653,2017-12
bengali,19,2017-12
thai,1108,2017-12
urdu,26,2017-12
bulgarian,183,2017-12
georgian,74,2017-12
marathi,4,2017-12
armenian,2,2017-12
belarusian,35,2017-12
gujarati,4,2017-12
tamil,11,2017-12
hindi,1,2017-12
punjabi,1,2017-12
