language,count,date
english,3066735,2018-01
chinese,147338,2018-01
japanese,34067,2018-01
german,19895,2018-01
korean,12602,2018-01
russian,20736,2018-01
french,14184,2018-01
portuguese,12253,2018-01
hebrew,1226,2018-01
spanish,14420,2018-01
vietnamese,6164,2018-01
dutch,5331,2018-01
italian,4427,2018-01
greek,700,2018-01
ukrainian,806,2018-01
thai,615,2018-01
persian,270,2018-01
bulgarian,268,2018-01
arabic,152,2018-01
belarusian,34,2018-01
bengali,56,2018-01
punjabi,5,2018-01
urdu,11,2018-01
marathi,5,2018-01
georgian,21,2018-01
hindi,5,2018-01
tamil,7,2018-01
armenian,5,2018-01
gujarati,2,2018-01
telugu,2,2018-01
english,2955677,2018-02
chinese,85660,2018-02
japanese,31666,2018-02
russian,22028,2018-02
german,17434,2018-02
spanish,14357,2018-02
portuguese,11148,2018-02
french,13759,2018-02
korean,8668,2018-02
vietnamese,4500,2018-02
dutch,5326,2018-02
italian,3307,2018-02
thai,791,2018-02
persian,339,2018-02
ukrainian,669,2018-02
greek,345,2018-02
bulgarian,265,2018-02
hebrew,653,2018-02
urdu,21,2018-02
belarusian,67,2018-02
arabic,193,2018-02
georgian,57,2018-02
bengali,32,2018-02
armenian,4,2018-02
marathi,1,2018-02
gujarati,1,2018-02
punjabi,2,2018-02
telugu,4,2018-02
hindi,2,2018-02
tamil,1,2018-02
english,3306310,2018-03
chinese,140834,2018-03
russian,29323,2018-03
japanese,36479,2018-03
german,24294,2018-03
spanish,17885,2018-03
french,15850,2018-03
korean,15225,2018-03
portuguese,16387,2018-03
dutch,7353,2018-03
vietnamese,6441,2018-03
italian,3807,2018-03
thai,1503,2018-03
greek,713,2018-03
ukrainian,1311,2018-03
persian,181,2018-03
hebrew,338,2018-03
belarusian,62,2018-03
bulgarian,175,2018-03
armenian,44,2018-03
arabic,197,2018-03
tamil,13,2018-03
urdu,19,2018-03
marathi,2,2018-03
georgian,43,2018-03
bengali,14,2018-03
hindi,4,2018-03
telugu,6,2018-03
punjabi,1,2018-03
english,2814241,2018-04
chinese,130805,2018-04
japanese,33759,2018-04
russian,25486,2018-04
spanish,18136,2018-04
portuguese,17525,2018-04
german,17001,2018-04
korean,15295,2018-04
french,12835,2018-04
dutch,5217,2018-04
vietnamese,5549,2018-04
italian,4164,2018-04
tamil,109,2018-04
ukrainian,1193,2018-04
hebrew,254,2018-04
bulgarian,300,2018-04
persian,218,2018-04
thai,549,2018-04
arabic,111,2018-04
belarusian,51,2018-04
greek,215,2018-04
urdu,15,2018-04
bengali,5,2018-04
georgian,54,2018-04
armenian,12,2018-04
telugu,2,2018-04
punjabi,1,2018-04
hindi,1,2018-04
gujarati,1,2018-04
marathi,1,2018-04
english,2854066,2018-05
chinese,132400,2018-05
japanese,37689,2018-05
russian,22191,2018-05
korean,14823,2018-05
german,19203,2018-05
spanish,19358,2018-05
portuguese,17692,2018-05
french,12505,2018-05
dutch,4673,2018-05
vietnamese,6048,2018-05
italian,3287,2018-05
thai,914,2018-05
hebrew,281,2018-05
ukrainian,1293,2018-05
persian,279,2018-05
arabic,129,2018-05
tamil,28,2018-05
greek,507,2018-05
belarusian,41,2018-05
armenian,54,2018-05
bulgarian,163,2018-05
bengali,19,2018-05
urdu,14,2018-05
georgian,65,2018-05
hindi,1,2018-05
telugu,5,2018-05
marathi,2,2018-05
punjabi,2,2018-05
gujarati,1,2018-05
english,2912116,2018-06
chinese,122592,2018-06
japanese,42330,2018-06
russian,24071,2018-06
korean,12013,2018-06
german,19288,2018-06
spanish,17738,2018-06
portuguese,16900,2018-06
french,13161,2018-06
vietnamese,5648,2018-06
dutch,4998,2018-06
italian,2724,2018-06
thai,744,2018-06
persian,303,2018-06
hebrew,371,2018-06
ukrainian,683,2018-06
greek,412,2018-06
arabic,102,2018-06
belarusian,30,2018-06
bulgarian,66,2018-06
armenian,74,2018-06
georgian,37,2018-06
tamil,26,2018-06
marathi,5,2018-06
hindi,4,2018-06
urdu,7,2018-06
bengali,7,2018-06
telugu,14,2018-06
english,2838721,2018-07
chinese,125321,2018-07
japanese,41678,2018-07
german,23486,2018-07
russian,19542,2018-07
korean,15304,2018-07
spanish,14002,2018-07
portuguese,13303,2018-07
dutch,7214,2018-07
french,10195,2018-07
italian,2752,2018-07
vietnamese,8404,2018-07
hebrew,348,2018-07
persian,263,2018-07
ukrainian,702,2018-07
thai,791,2018-07
greek,210,2018-07
bulgarian,96,2018-07
urdu,8,2018-07
arabic,180,2018-07
belarusian,58,2018-07
bengali,30,2018-07
punjabi,3,2018-07
georgian,10,2018-07
hindi,3,2018-07
armenian,7,2018-07
tamil,8,2018-07
telugu,2,2018-07
marathi,1,2018-07
english,2926230,2018-08
chinese,130922,2018-08
japanese,37688,2018-08
russian,22390,2018-08
german,19191,2018-08
korean,17700,2018-08
spanish,15169,2018-08
portuguese,16047,2018-08
french,9431,2018-08
dutch,5581,2018-08
vietnamese,6022,2018-08
thai,608,2018-08
italian,2002,2018-08
persian,398,2018-08
arabic,170,2018-08
hebrew,323,2018-08
greek,285,2018-08
ukrainian,545,2018-08
bengali,7,2018-08
bulgarian,73,2018-08
urdu,18,2018-08
tamil,18,2018-08
georgian,22,2018-08
telugu,4,2018-08
gujarati,3,2018-08
belarusian,43,2018-08
hindi,3,2018-08
armenian,1,2018-08
punjabi,2,2018-08
english,2714018,2018-09
chinese,121604,2018-09
japanese,38814,2018-09
korean,14954,2018-09
russian,23975,2018-09
german,17219,2018-09
spanish,17497,2018-09
portuguese,17420,2018-09
dutch,5314,2018-09
vietnamese,5524,2018-09
french,10841,2018-09
italian,2902,2018-09
thai,540,2018-09
ukrainian,621,2018-09
persian,358,2018-09
arabic,227,2018-09
hebrew,321,2018-09
bulgarian,63,2018-09
marathi,2,2018-09
greek,408,2018-09
belarusian,34,2018-09
urdu,11,2018-09
georgian,54,2018-09
armenian,11,2018-09
tamil,29,2018-09
punjabi,5,2018-09
telugu,3,2018-09
hindi,2,2018-09
bengali,8,2018-09
english,1857144,2018-10
chinese,57422,2018-10
japanese,22941,2018-10
russian,18076,2018-10
spanish,11368,2018-10
german,10315,2018-10
portuguese,11372,2018-10
french,8499,2018-10
korean,8793,2018-10
vietnamese,3156,2018-10
dutch,3615,2018-10
italian,1957,2018-10
ukrainian,501,2018-10
thai,365,2018-10
arabic,103,2018-10
persian,240,2018-10
greek,223,2018-10
belarusian,60,2018-10
hebrew,130,2018-10
bulgarian,30,2018-10
bengali,7,2018-10
tamil,13,2018-10
urdu,3,2018-10
georgian,8,2018-10
hindi,4,2018-10
armenian,4,2018-10
