language,count,date
english,1452281,2015-01
chinese,24542,2015-01
japanese,16679,2015-01
korean,4594,2015-01
german,11483,2015-01
spanish,7078,2015-01
russian,7612,2015-01
french,7266,2015-01
dutch,3554,2015-01
portuguese,5528,2015-01
vietnamese,1347,2015-01
hebrew,378,2015-01
italian,1654,2015-01
arabic,117,2015-01
persian,75,2015-01
urdu,23,2015-01
greek,182,2015-01
thai,89,2015-01
georgian,13,2015-01
bulgarian,186,2015-01
ukrainian,217,2015-01
marathi,12,2015-01
bengali,6,2015-01
armenian,8,2015-01
belarusian,18,2015-01
hindi,11,2015-01
telugu,4,2015-01
gujarati,3,2015-01
tamil,1,2015-01
english,1525411,2015-02
japanese,16055,2015-02
korean,14219,2015-02
chinese,21192,2015-02
russian,9506,2015-02
spanish,7450,2015-02
german,10428,2015-02
french,8433,2015-02
portuguese,6295,2015-02
dutch,2922,2015-02
italian,1730,2015-02
ukrainian,429,2015-02
vietnamese,1080,2015-02
bulgarian,140,2015-02
greek,344,2015-02
hebrew,254,2015-02
thai,104,2015-02
arabic,184,2015-02
urdu,23,2015-02
persian,66,2015-02
tamil,5,2015-02
marathi,12,2015-02
hindi,2,2015-02
georgian,35,2015-02
belarusian,9,2015-02
bengali,7,2015-02
armenian,16,2015-02
telugu,1,2015-02
gujarati,1,2015-02
english,1729585,2015-03
korean,6715,2015-03
chinese,30795,2015-03
japanese,17994,2015-03
russian,17071,2015-03
german,13318,2015-03
french,10706,2015-03
portuguese,7476,2015-03
spanish,9339,2015-03
italian,1437,2015-03
dutch,3638,2015-03
vietnamese,1733,2015-03
belarusian,41,2015-03
bulgarian,225,2015-03
arabic,64,2015-03
greek,218,2015-03
ukrainian,602,2015-03
hebrew,372,2015-03
thai,67,2015-03
gujarati,1,2015-03
tamil,3,2015-03
telugu,2,2015-03
bengali,11,2015-03
georgian,64,2015-03
persian,26,2015-03
armenian,13,2015-03
hindi,1,2015-03
urdu,9,2015-03
english,1642624,2015-04
japanese,17638,2015-04
chinese,29527,2015-04
russian,11613,2015-04
german,12919,2015-04
portuguese,8080,2015-04
french,9250,2015-04
spanish,8950,2015-04
korean,5661,2015-04
dutch,3654,2015-04
vietnamese,1915,2015-04
ukrainian,644,2015-04
italian,1197,2015-04
georgian,125,2015-04
greek,215,2015-04
bulgarian,211,2015-04
arabic,86,2015-04
hebrew,169,2015-04
armenian,21,2015-04
urdu,26,2015-04
persian,64,2015-04
belarusian,39,2015-04
thai,71,2015-04
tamil,8,2015-04
punjabi,1,2015-04
hindi,18,2015-04
marathi,26,2015-04
telugu,1,2015-04
bengali,4,2015-04
english,1628871,2015-05
chinese,29748,2015-05
japanese,18595,2015-05
russian,11037,2015-05
german,12641,2015-05
spanish,9424,2015-05
portuguese,8383,2015-05
french,9052,2015-05
korean,5410,2015-05
dutch,4416,2015-05
vietnamese,2169,2015-05
italian,2005,2015-05
ukrainian,706,2015-05
hebrew,291,2015-05
georgian,65,2015-05
bulgarian,357,2015-05
thai,83,2015-05
greek,184,2015-05
arabic,237,2015-05
urdu,26,2015-05
tamil,6,2015-05
persian,76,2015-05
belarusian,41,2015-05
marathi,28,2015-05
hindi,15,2015-05
bengali,2,2015-05
telugu,3,2015-05
gujarati,1,2015-05
english,1712007,2015-06
japanese,20416,2015-06
chinese,30322,2015-06
german,14234,2015-06
spanish,9088,2015-06
russian,10287,2015-06
portuguese,7652,2015-06
korean,5704,2015-06
french,8606,2015-06
arabic,895,2015-06
dutch,4615,2015-06
ukrainian,568,2015-06
bulgarian,280,2015-06
vietnamese,2488,2015-06
italian,2137,2015-06
urdu,36,2015-06
greek,116,2015-06
thai,107,2015-06
hebrew,174,2015-06
persian,119,2015-06
tamil,7,2015-06
marathi,28,2015-06
hindi,20,2015-06
belarusian,10,2015-06
georgian,76,2015-06
armenian,3,2015-06
punjabi,1,2015-06
gujarati,4,2015-06
bengali,1,2015-06
english,1756567,2015-07
japanese,22951,2015-07
chinese,36799,2015-07
german,11878,2015-07
portuguese,7260,2015-07
russian,11635,2015-07
spanish,7651,2015-07
french,7496,2015-07
korean,5351,2015-07
vietnamese,3028,2015-07
arabic,1155,2015-07
italian,1774,2015-07
dutch,2882,2015-07
hebrew,302,2015-07
thai,145,2015-07
ukrainian,510,2015-07
georgian,273,2015-07
bulgarian,235,2015-07
