language,count,date
english,3734945,2020-01
chinese,133967,2020-01
japanese,69417,2020-01
korean,28379,2020-01
german,26333,2020-01
russian,36425,2020-01
spanish,18892,2020-01
french,16856,2020-01
vietnamese,5652,2020-01
portuguese,15518,2020-01
dutch,8624,2020-01
hebrew,451,2020-01
italian,3588,2020-01
arabic,205,2020-01
persian,339,2020-01
greek,706,2020-01
ukrainian,1685,2020-01
tamil,29,2020-01
thai,3222,2020-01
bulgarian,103,2020-01
urdu,108,2020-01
bengali,27,2020-01
georgian,66,2020-01
armenian,28,2020-01
belarusian,250,2020-01
punjabi,5,2020-01
gujarati,4,2020-01
marathi,2,2020-01
hindi,1,2020-01
telugu,5,2020-01
english,3755292,2020-02
chinese,145984,2020-02
japanese,75559,2020-02
russian,44284,2020-02
korean,39124,2020-02
german,25590,2020-02
portuguese,15728,2020-02
spanish,17695,2020-02
french,17069,2020-02
italian,3371,2020-02
dutch,9286,2020-02
vietnamese,6641,2020-02
ukrainian,1390,2020-02
belarusian,216,2020-02
hebrew,598,2020-02
persian,462,2020-02
thai,642,2020-02
greek,405,2020-02
arabic,179,2020-02
bulgarian,64,2020-02
urdu,101,2020-02
georgian,106,2020-02
tamil,36,2020-02
hindi,4,2020-02
punjabi,5,2020-02
bengali,13,2020-02
armenian,60,2020-02
marathi,4,2020-02
english,4351305,2020-03
chinese,216403,2020-03
japanese,105531,2020-03
russian,47671,2020-03
korean,45264,2020-03
german,31251,2020-03
spanish,26132,2020-03
italian,10231,2020-03
portuguese,23800,2020-03
french,23125,2020-03
vietnamese,7450,2020-03
dutch,12964,2020-03
persian,705,2020-03
ukrainian,2100,2020-03
thai,941,2020-03
hebrew,979,2020-03
greek,787,2020-03
arabic,324,2020-03
urdu,108,2020-03
belarusian,183,2020-03
bulgarian,139,2020-03
tamil,1152,2020-03
marathi,5,2020-03
armenian,33,2020-03
punjabi,4,2020-03
georgian,55,2020-03
hindi,1,2020-03
bengali,40,2020-03
telugu,2,2020-03
english,4806365,2020-04
chinese,209289,2020-04
japanese,106030,2020-04
russian,55044,2020-04
korean,46276,2020-04
spanish,34483,2020-04
portuguese,29551,2020-04
german,30875,2020-04
french,28772,2020-04
vietnamese,8583,2020-04
italian,7888,2020-04
dutch,10684,2020-04
hebrew,1267,2020-04
greek,1426,2020-04
persian,642,2020-04
thai,608,2020-04
arabic,306,2020-04
ukrainian,2729,2020-04
bengali,59,2020-04
tamil,69,2020-04
bulgarian,203,2020-04
hindi,14,2020-04
belarusian,213,2020-04
urdu,83,2020-04
georgian,25,2020-04
armenian,43,2020-04
marathi,8,2020-04
punjabi,4,2020-04
english,4857057,2020-05
chinese,196671,2020-05
japanese,109017,2020-05
russian,61834,2020-05
korean,50347,2020-05
spanish,33983,2020-05
german,33939,2020-05
portuguese,30632,2020-05
french,22762,2020-05
vietnamese,8274,2020-05
dutch,10718,2020-05
