language,count,date
italian,5780,2020-05
hebrew,1036,2020-05
ukrainian,2999,2020-05
greek,1026,2020-05
persian,470,2020-05
belarusian,462,2020-05
arabic,202,2020-05
thai,496,2020-05
urdu,87,2020-05
hindi,10,2020-05
tamil,42,2020-05
bulgarian,120,2020-05
marathi,16,2020-05
armenian,12,2020-05
georgian,53,2020-05
bengali,52,2020-05
punjabi,11,2020-05
telugu,10,2020-05
gujarati,6,2020-05
english,4476403,2020-06
chinese,181007,2020-06
japanese,92272,2020-06
korean,53084,2020-06
russian,49502,2020-06
german,31185,2020-06
spanish,31731,2020-06
portuguese,28673,2020-06
french,18048,2020-06
vietnamese,8466,2020-06
dutch,10053,2020-06
italian,4451,2020-06
hebrew,1046,2020-06
persian,516,2020-06
ukrainian,1712,2020-06
greek,785,2020-06
thai,529,2020-06
arabic,308,2020-06
bulgarian,131,2020-06
georgian,82,2020-06
belarusian,149,2020-06
bengali,103,2020-06
urdu,51,2020-06
tamil,34,2020-06
hindi,40,2020-06
marathi,18,2020-06
punjabi,10,2020-06
telugu,11,2020-06
armenian,6,2020-06
gujarati,2,2020-06
english,4550313,2020-07
chinese,198350,2020-07
japanese,100933,2020-07
korean,56474,2020-07
russian,45504,2020-07
spanish,26266,2020-07
german,23285,2020-07
portuguese,27434,2020-07
french,15549,2020-07
dutch,7256,2020-07
vietnamese,8904,2020-07
italian,3410,2020-07
ukrainian,1570,2020-07
persian,677,2020-07
hebrew,545,2020-07
thai,670,2020-07
greek,301,2020-07
arabic,318,2020-07
bulgarian,157,2020-07
tamil,21,2020-07
hindi,20,2020-07
belarusian,110,2020-07
marathi,15,2020-07
urdu,77,2020-07
georgian,87,2020-07
bengali,62,2020-07
telugu,10,2020-07
armenian,13,2020-07
punjabi,4,2020-07
english,4013820,2020-08
chinese,177219,2020-08
spanish,24078,2020-08
korean,67928,2020-08
russian,36940,2020-08
japanese,104191,2020-08
portuguese,25738,2020-08
german,21117,2020-08
french,14080,2020-08
dutch,7042,2020-08
vietnamese,10706,2020-08
italian,2143,2020-08
persian,923,2020-08
hebrew,777,2020-08
bengali,80,2020-08
belarusian,70,2020-08
greek,282,2020-08
arabic,247,2020-08
ukrainian,1368,2020-08
bulgarian,70,2020-08
marathi,15,2020-08
hindi,26,2020-08
thai,330,2020-08
armenian,17,2020-08
georgian,24,2020-08
urdu,44,2020-08
telugu,9,2020-08
punjabi,1,2020-08
gujarati,1,2020-08
tamil,10,2020-08
english,4392195,2020-09
chinese,177365,2020-09
japanese,113064,2020-09
russian,48152,2020-09
korean,61509,2020-09
portuguese,35163,2020-09
spanish,29062,2020-09
german,22375,2020-09
french,18385,2020-09
vietnamese,8208,2020-09
dutch,9243,2020-09
italian,2693,2020-09
ukrainian,2743,2020-09
hebrew,416,2020-09
persian,346,2020-09
arabic,226,2020-09
thai,421,2020-09
greek,760,2020-09
bulgarian,57,2020-09
urdu,43,2020-09
belarusian,85,2020-09
georgian,151,2020-09
bengali,45,2020-09
telugu,1,2020-09
punjabi,7,2020-09
armenian,11,2020-09
tamil,27,2020-09
marathi,9,2020-09
hindi,13,2020-09
english,4953362,2020-10
chinese,208109,2020-10
japanese,110764,2020-10
korean,54729,2020-10
russian,59500,2020-10
portuguese,41618,2020-10
spanish,38272,2020-10
german,26396,2020-10
french,22681,2020-10
vietnamese,7891,2020-10
italian,4378,2020-10
dutch,10359,2020-10
hebrew,1018,2020-10
ukrainian,2188,2020-10
persian,551,2020-10
bulgarian,230,2020-10
thai,540,2020-10
greek,735,2020-10
arabic,243,2020-10
georgian,203,2020-10
tamil,18,2020-10
bengali,61,2020-10
armenian,19,2020-10
urdu,25,2020-10
belarusian,47,2020-10
marathi,3,2020-10
punjabi,3,2020-10
hindi,6,2020-10
gujarati,1,2020-10
telugu,1,2020-10
english,4381795,2020-11
chinese,246332,2020-11
japanese,122481,2020-11
korean,87692,2020-11
russian,58797,2020-11
spanish,36106,2020-11
portuguese,34301,2020-11
german,30075,2020-11
french,25539,2020-11
vietnamese,6773,2020-11
dutch,10357,2020-11
ukrainian,2866,2020-11
italian,5653,2020-11
persian,842,2020-11
greek,821,2020-11
hebrew,642,2020-11
thai,514,2020-11
arabic,204,2020-11
bulgarian,317,2020-11
marathi,27,2020-11
georgian,231,2020-11
bengali,50,2020-11
belarusian,73,2020-11
hindi,29,2020-11
urdu,37,2020-11
tamil,26,2020-11
armenian,17,2020-11
gujarati,3,2020-11
telugu,3,2020-11
punjabi,1,2020-11
english,4153865,2020-12
chinese,1296708,2020-12
japanese,143578,2020-12
korean,84578,2020-12
russian,53569,2020-12
spanish,26810,2020-12
german,28875,2020-12
portuguese,27495,2020-12
french,20570,2020-12
italian,5607,2020-12
vietnamese,6995,2020-12
dutch,8985,2020-12
ukrainian,1915,2020-12
hebrew,667,2020-12
persian,846,2020-12
greek,739,2020-12
thai,3105,2020-12
arabic,280,2020-12
bulgarian,206,2020-12
tamil,52,2020-12
punjabi,4,2020-12
georgian,86,2020-12
urdu,26,2020-12
bengali,34,2020-12
marathi,15,2020-12
belarusian,44,2020-12
armenian,12,2020-12
gujarati,4,2020-12
hindi,20,2020-12
telugu,6,2020-12
