language,count,date
english,5182810,2025-01
korean,261876,2025-01
chinese,180340,2025-01
japanese,83283,2025-01
russian,57946,2025-01
german,32960,2025-01
spanish,31216,2025-01
french,37738,2025-01
portuguese,34920,2025-01
vietnamese,8407,2025-01
dutch,15194,2025-01
persian,2360,2025-01
ukrainian,3463,2025-01
italian,7956,2025-01
hebrew,1529,2025-01
arabic,760,2025-01
thai,1753,2025-01
georgian,285,2025-01
belarusian,124,2025-01
bulgarian,211,2025-01
tamil,29,2025-01
hindi,44,2025-01
bengali,40,2025-01
greek,433,2025-01
marathi,27,2025-01
armenian,20,2025-01
gujarati,3,2025-01
urdu,32,2025-01
telugu,18,2025-01
english,5290625,2025-02
korean,273754,2025-02
chinese,212251,2025-02
japanese,80836,2025-02
russian,67790,2025-02
spanish,39734,2025-02
portuguese,41861,2025-02
german,34942,2025-02
french,40405,2025-02
italian,6428,2025-02
ukrainian,5866,2025-02
dutch,20816,2025-02
persian,1835,2025-02
vietnamese,93366,2025-02
hebrew,1171,2025-02
thai,2374,2025-02
greek,706,2025-02
arabic,593,2025-02
georgian,308,2025-02
urdu,21,2025-02
bengali,52,2025-02
bulgarian,130,2025-02
marathi,22,2025-02
belarusian,143,2025-02
armenian,139,2025-02
gujarati,7,2025-02
punjabi,6,2025-02
tamil,20,2025-02
telugu,9,2025-02
hindi,10,2025-02
english,5376432,2025-03
chinese,247604,2025-03
korean,273597,2025-03
japanese,89973,2025-03
russian,72534,2025-03
spanish,54145,2025-03
portuguese,45519,2025-03
german,34005,2025-03
french,39847,2025-03
dutch,16788,2025-03
vietnamese,9016,2025-03
italian,7885,2025-03
ukrainian,4459,2025-03
thai,1748,2025-03
persian,1673,2025-03
armenian,141,2025-03
hebrew,1125,2025-03
arabic,614,2025-03
greek,619,2025-03
belarusian,806,2025-03
bulgarian,256,2025-03
georgian,185,2025-03
tamil,17,2025-03
bengali,72,2025-03
urdu,135,2025-03
hindi,23,2025-03
marathi,19,2025-03
telugu,12,2025-03
punjabi,6,2025-03
gujarati,13,2025-03
english,5097249,2025-04
korean,283566,2025-04
chinese,229896,2025-04
japanese,88745,2025-04
spanish,65927,2025-04
russian,71440,2025-04
portuguese,55585,2025-04
french,35615,2025-04
german,31836,2025-04
dutch,15438,2025-04
italian,8671,2025-04
vietnamese,9295,2025-04
ukrainian,4909,2025-04
persian,1723,2025-04
hebrew,936,2025-04
thai,845,2025-04
greek,527,2025-04
arabic,979,2025-04
georgian,344,2025-04
belarusian,371,2025-04
bulgarian,222,2025-04
bengali,117,2025-04
armenian,78,2025-04
tamil,22,2025-04
urdu,39,2025-04
punjabi,9,2025-04
marathi,12,2025-04
gujarati,12,2025-04
telugu,6,2025-04
hindi,13,2025-04
english,4947119,2025-05
korean,307723,2025-05
chinese,200406,2025-05
japanese,103448,2025-05
spanish,70497,2025-05
russian,62336,2025-05
portuguese,58975,2025-05
german,35525,2025-05
dutch,17914,2025-05
french,31440,2025-05
ukrainian,4655,2025-05
italian,7801,2025-05
vietnamese,9417,2025-05
persian,1235,2025-05
greek,1074,2025-05
hebrew,1410,2025-05
arabic,901,2025-05
thai,715,2025-05
georgian,317,2025-05
belarusian,344,2025-05
urdu,13,2025-05
bengali,110,2025-05
bulgarian,201,2025-05
marathi,17,2025-05
armenian,56,2025-05
hindi,26,2025-05
punjabi,3,2025-05
tamil,23,2025-05
gujarati,11,2025-05
telugu,4,2025-05
