language,count,date
vietnamese,6945,2021-09
dutch,7912,2021-09
italian,3515,2021-09
ukrainian,3118,2021-09
persian,687,2021-09
thai,816,2021-09
hebrew,238,2021-09
arabic,298,2021-09
greek,413,2021-09
tamil,28,2021-09
bulgarian,139,2021-09
armenian,14,2021-09
urdu,12,2021-09
bengali,68,2021-09
marathi,16,2021-09
georgian,47,2021-09
belarusian,35,2021-09
gujarati,36,2021-09
hindi,16,2021-09
english,1812391,2021-10
japanese,45026,2021-10
chinese,64084,2021-10
korean,53933,2021-10
spanish,16582,2021-10
portuguese,17319,2021-10
russian,34398,2021-10
german,9979,2021-10
french,7924,2021-10
dutch,3533,2021-10
vietnamese,3852,2021-10
greek,291,2021-10
arabic,166,2021-10
hebrew,147,2021-10
bulgarian,96,2021-10
ukrainian,1645,2021-10
italian,1832,2021-10
thai,600,2021-10
persian,182,2021-10
georgian,136,2021-10
belarusian,20,2021-10
hindi,14,2021-10
armenian,15,2021-10
tamil,9,2021-10
urdu,5,2021-10
bengali,36,2021-10
marathi,10,2021-10
punjabi,1,2021-10
telugu,1,2021-10
english,4453326,2021-11
korean,156828,2021-11
chinese,185219,2021-11
japanese,85216,2021-11
russian,69862,2021-11
german,33564,2021-11
spanish,41482,2021-11
vietnamese,12062,2021-11
portuguese,37236,2021-11
french,24274,2021-11
ukrainian,4310,2021-11
dutch,10097,2021-11
italian,4573,2021-11
bulgarian,469,2021-11
thai,801,2021-11
greek,825,2021-11
arabic,355,2021-11
persian,456,2021-11
hebrew,421,2021-11
tamil,68,2021-11
bengali,26,2021-11
georgian,264,2021-11
armenian,31,2021-11
belarusian,55,2021-11
telugu,2,2021-11
urdu,11,2021-11
gujarati,3,2021-11
punjabi,1,2021-11
hindi,2,2021-11
marathi,4,2021-11
english,4011375,2021-12
chinese,207105,2021-12
korean,123286,2021-12
japanese,85865,2021-12
russian,63777,2021-12
spanish,30885,2021-12
portuguese,29332,2021-12
german,29350,2021-12
french,21026,2021-12
vietnamese,7433,2021-12
dutch,9410,2021-12
italian,4014,2021-12
ukrainian,3462,2021-12
greek,587,2021-12
persian,506,2021-12
thai,873,2021-12
bulgarian,235,2021-12
hebrew,275,2021-12
arabic,280,2021-12
belarusian,55,2021-12
bengali,29,2021-12
georgian,240,2021-12
armenian,57,2021-12
gujarati,66,2021-12
marathi,7,2021-12
urdu,10,2021-12
tamil,22,2021-12
hindi,19,2021-12
punjabi,6,2021-12
