language,count,date
english,2224127,2022-01
chinese,86967,2022-01
korean,54338,2022-01
japanese,43884,2022-01
german,16715,2022-01
russian,26149,2022-01
spanish,11832,2022-01
french,11261,2022-01
portuguese,15532,2022-01
vietnamese,4685,2022-01
dutch,5298,2022-01
italian,2603,2022-01
thai,386,2022-01
hebrew,264,2022-01
persian,228,2022-01
ukrainian,1412,2022-01
greek,2015,2022-01
arabic,179,2022-01
gujarati,57,2022-01
bengali,64,2022-01
armenian,20,2022-01
belarusian,29,2022-01
bulgarian,69,2022-01
georgian,28,2022-01
tamil,14,2022-01
hindi,10,2022-01
marathi,10,2022-01
punjabi,1,2022-01
telugu,1,2022-01
english,1909196,2022-02
chinese,72797,2022-02
korean,54151,2022-02
japanese,39216,2022-02
russian,23595,2022-02
spanish,11683,2022-02
german,11822,2022-02
portuguese,15172,2022-02
vietnamese,2554,2022-02
dutch,4682,2022-02
french,9607,2022-02
persian,197,2022-02
italian,1948,2022-02
ukrainian,925,2022-02
arabic,134,2022-02
hebrew,127,2022-02
thai,491,2022-02
greek,195,2022-02
bengali,50,2022-02
gujarati,35,2022-02
armenian,34,2022-02
tamil,10,2022-02
bulgarian,59,2022-02
urdu,3,2022-02
marathi,8,2022-02
hindi,11,2022-02
georgian,49,2022-02
belarusian,21,2022-02
telugu,2,2022-02
english,1955565,2022-03
chinese,100195,2022-03
korean,61122,2022-03
japanese,40256,2022-03
russian,22192,2022-03
portuguese,16548,2022-03
spanish,14208,2022-03
german,10802,2022-03
french,9958,2022-03
vietnamese,3105,2022-03
dutch,4314,2022-03
thai,416,2022-03
ukrainian,676,2022-03
italian,2008,2022-03
persian,245,2022-03
arabic,129,2022-03
greek,848,2022-03
georgian,84,2022-03
hebrew,149,2022-03
belarusian,14,2022-03
hindi,8,2022-03
tamil,12,2022-03
bulgarian,69,2022-03
bengali,27,2022-03
gujarati,36,2022-03
urdu,9,2022-03
armenian,15,2022-03
marathi,2,2022-03
telugu,1,2022-03
english,2179247,2022-04
chinese,117559,2022-04
korean,69313,2022-04
japanese,40976,2022-04
portuguese,18807,2022-04
russian,29359,2022-04
spanish,16386,2022-04
french,10105,2022-04
german,12194,2022-04
vietnamese,2941,2022-04
dutch,4953,2022-04
italian,2229,2022-04
hebrew,310,2022-04
ukrainian,1155,2022-04
greek,312,2022-04
thai,251,2022-04
persian,333,2022-04
georgian,93,2022-04
arabic,182,2022-04
armenian,12,2022-04
bulgarian,52,2022-04
belarusian,43,2022-04
tamil,8,2022-04
gujarati,31,2022-04
bengali,35,2022-04
urdu,9,2022-04
punjabi,1,2022-04
hindi,2,2022-04
english,3174213,2022-05
chinese,168433,2022-05
korean,124180,2022-05
japanese,63338,2022-05
spanish,25765,2022-05
russian,44236,2022-05
portuguese,31429,2022-05
vietnamese,4296,2022-05
german,18813,2022-05
dutch,6939,2022-05
ukrainian,2874,2022-05
french,14468,2022-05
italian,3819,2022-05
thai,441,2022-05
persian,630,2022-05
hebrew,1601,2022-05
belarusian,96,2022-05
bengali,61,2022-05
greek,646,2022-05
arabic,241,2022-05
georgian,257,2022-05
bulgarian,102,2022-05
gujarati,68,2022-05
armenian,39,2022-05
punjabi,1,2022-05
hindi,7,2022-05
tamil,21,2022-05
urdu,5,2022-05
telugu,3,2022-05
marathi,7,2022-05
english,3007879,2022-06
chinese,143900,2022-06
korean,108479,2022-06
japanese,62215,2022-06
russian,41899,2022-06
spanish,22958,2022-06
portuguese,30065,2022-06
german,15962,2022-06
french,13943,2022-06
ukrainian,3642,2022-06
dutch,7408,2022-06
vietnamese,3843,2022-06
italian,2827,2022-06
persian,557,2022-06
greek,445,2022-06
thai,276,2022-06
hebrew,298,2022-06
belarusian,51,2022-06
bulgarian,195,2022-06
gujarati,58,2022-06
bengali,56,2022-06
tamil,13,2022-06
arabic,207,2022-06
georgian,68,2022-06
marathi,8,2022-06
hindi,4,2022-06
urdu,6,2022-06
telugu,2,2022-06
armenian,39,2022-06
english,3060563,2022-07
chinese,155543,2022-07
korean,149235,2022-07
japanese,63136,2022-07
russian,40157,2022-07
spanish,18318,2022-07
portuguese,27636,2022-07
german,13832,2022-07
french,11682,2022-07
dutch,5314,2022-07
vietnamese,4880,2022-07
italian,2654,2022-07
ukrainian,3844,2022-07
arabic,332,2022-07
persian,1106,2022-07
thai,335,2022-07
hebrew,231,2022-07
greek,308,2022-07
belarusian,44,2022-07
bengali,64,2022-07
bulgarian,284,2022-07
gujarati,45,2022-07
armenian,56,2022-07
georgian,125,2022-07
tamil,36,2022-07
urdu,8,2022-07
marathi,5,2022-07
hindi,4,2022-07
punjabi,2,2022-07
telugu,3,2022-07
 that was added by dotnet cli,1,2022-07
english,2975902,2022-08
chinese,164734,2022-08
korean,129394,2022-08
japanese,57657,2022-08
portuguese,27656,2022-08
russian,37657,2022-08
spanish,18930,2022-08
vietnamese,5250,2022-08
german,13238,2022-08
french,9865,2022-08
dutch,4768,2022-08
thai,582,2022-08
greek,230,2022-08
italian,2132,2022-08
bulgarian,174,2022-08
arabic,198,2022-08
