language,count,date
english,4616040,2024-01
chinese,198784,2024-01
korean,239248,2024-01
japanese,77195,2024-01
spanish,23554,2024-01
russian,48139,2024-01
portuguese,24672,2024-01
german,25735,2024-01
french,24604,2024-01
vietnamese,4696,2024-01
dutch,10193,2024-01
italian,5809,2024-01
ukrainian,3986,2024-01
thai,1007,2024-01
persian,2405,2024-01
greek,432,2024-01
arabic,294,2024-01
georgian,679,2024-01
belarusian,72,2024-01
hebrew,418,2024-01
tamil,25,2024-01
bulgarian,161,2024-01
urdu,19,2024-01
gujarati,10,2024-01
bengali,50,2024-01
hindi,23,2024-01
armenian,25,2024-01
telugu,5,2024-01
marathi,10,2024-01
punjabi,1,2024-01
english,4844362,2024-02
korean,233720,2024-02
chinese,149360,2024-02
japanese,78268,2024-02
spanish,32873,2024-02
russian,62040,2024-02
portuguese,27209,2024-02
german,26881,2024-02
french,26428,2024-02
dutch,9885,2024-02
vietnamese,3445,2024-02
ukrainian,4458,2024-02
italian,6470,2024-02
thai,1301,2024-02
persian,2389,2024-02
greek,492,2024-02
bulgarian,274,2024-02
arabic,429,2024-02
hebrew,476,2024-02
hindi,13,2024-02
belarusian,108,2024-02
telugu,9,2024-02
georgian,372,2024-02
bengali,69,2024-02
armenian,13,2024-02
gujarati,6,2024-02
urdu,29,2024-02
tamil,11,2024-02
marathi,7,2024-02
punjabi,1,2024-02
english,4658560,2024-03
chinese,283488,2024-03
korean,236220,2024-03
japanese,77982,2024-03
portuguese,32791,2024-03
spanish,36347,2024-03
russian,67693,2024-03
german,25373,2024-03
vietnamese,6496,2024-03
french,25000,2024-03
dutch,10267,2024-03
persian,1788,2024-03
italian,7075,2024-03
ukrainian,5137,2024-03
thai,1069,2024-03
greek,473,2024-03
hebrew,774,2024-03
bulgarian,155,2024-03
tamil,15,2024-03
armenian,86,2024-03
georgian,593,2024-03
arabic,315,2024-03
belarusian,108,2024-03
bengali,155,2024-03
marathi,6,2024-03
urdu,12,2024-03
telugu,3,2024-03
gujarati,7,2024-03
hindi,7,2024-03
punjabi,1,2024-03
english,5030810,2024-04
chinese,225594,2024-04
korean,230981,2024-04
japanese,78675,2024-04
russian,64178,2024-04
spanish,49835,2024-04
portuguese,44164,2024-04
german,29108,2024-04
french,26663,2024-04
vietnamese,6970,2024-04
dutch,11482,2024-04
italian,5914,2024-04
ukrainian,4099,2024-04
persian,1526,2024-04
greek,673,2024-04
hebrew,1128,2024-04
thai,770,2024-04
arabic,319,2024-04
bulgarian,300,2024-04
georgian,990,2024-04
marathi,10,2024-04
hindi,15,2024-04
urdu,14,2024-04
armenian,85,2024-04
belarusian,78,2024-04
tamil,35,2024-04
telugu,14,2024-04
bengali,149,2024-04
gujarati,7,2024-04
punjabi,1,2024-04
english,4939129,2024-05
korean,264777,2024-05
chinese,222849,2024-05
japanese,87069,2024-05
portuguese,50130,2024-05
spanish,53734,2024-05
vietnamese,8280,2024-05
french,24533,2024-05
russian,60921,2024-05
persian,2399,2024-05
german,27584,2024-05
dutch,12011,2024-05
italian,6888,2024-05
ukrainian,4896,2024-05
georgian,535,2024-05
hebrew,960,2024-05
greek,1004,2024-05
arabic,406,2024-05
thai,586,2024-05
bulgarian,183,2024-05
bengali,99,2024-05
belarusian,95,2024-05
tamil,79,2024-05
armenian,150,2024-05
urdu,13,2024-05
telugu,9,2024-05
marathi,7,2024-05
hindi,12,2024-05
gujarati,15,2024-05
punjabi,2,2024-05
english,4093144,2024-06
chinese,218522,2024-06
korean,222352,2024-06
japanese,89184,2024-06
spanish,40069,2024-06
portuguese,38623,2024-06
vietnamese,5947,2024-06
russian,50384,2024-06
german,24622,2024-06
ukrainian,4027,2024-06
dutch,10165,2024-06
french,19940,2024-06
persian,2348,2024-06
greek,442,2024-06
italian,4364,2024-06
thai,620,2024-06
arabic,276,2024-06
georgian,273,2024-06
hindi,9,2024-06
hebrew,975,2024-06
belarusian,95,2024-06
bulgarian,183,2024-06
bengali,30,2024-06
urdu,12,2024-06
tamil,27,2024-06
armenian,28,2024-06
marathi,8,2024-06
telugu,3,2024-06
punjabi,1,2024-06
gujarati,4,2024-06
english,4810034,2024-07
korean,315614,2024-07
chinese,240926,2024-07
japanese,86128,2024-07
russian,56241,2024-07
portuguese,36397,2024-07
spanish,33456,2024-07
german,23524,2024-07
french,23076,2024-07
vietnamese,7527,2024-07
dutch,11594,2024-07
persian,2650,2024-07
ukrainian,3642,2024-07
italian,3609,2024-07
arabic,461,2024-07
belarusian,82,2024-07
thai,596,2024-07
hebrew,1445,2024-07
bulgarian,369,2024-07
greek,499,2024-07
georgian,392,2024-07
urdu,53,2024-07
tamil,16,2024-07
bengali,38,2024-07
armenian,25,2024-07
hindi,5,2024-07
punjabi,3,2024-07
telugu,7,2024-07
gujarati,1,2024-07
english,4075735,2024-08
korean,287635,2024-08
chinese,210027,2024-08
japanese,75735,2024-08
portuguese,35410,2024-08
spanish,31756,2024-08
russian,48234,2024-08
vietnamese,6557,2024-08
french,15391,2024-08
german,19498,2024-08
dutch,7537,2024-08
thai,836,2024-08
ukrainian,3131,2024-08
italian,2852,2024-08
persian,1758,2024-08
greek,317,2024-08
arabic,532,2024-08
georgian,312,2024-08
hebrew,1193,2024-08
bengali,41,2024-08
bulgarian,128,2024-08
belarusian,53,2024-08
tamil,17,2024-08
armenian,35,2024-08
urdu,29,2024-08
marathi,17,2024-08
hindi,4,2024-08
telugu,2,2024-08
gujarati,1,2024-08
english,4758678,2024-09
korean,248191,2024-09
chinese,212585,2024-09
japanese,85495,2024-09
russian,59329,2024-09
spanish,42753,2024-09
french,24588,2024-09
portuguese,42178,2024-09
german,26032,2024-09
dutch,12448,2024-09
vietnamese,6741,2024-09
italian,4563,2024-09
georgian,699,2024-09
persian,1971,2024-09
ukrainian,3561,2024-09
thai,1117,2024-09
hebrew,1042,2024-09
greek,507,2024-09
bulgarian,90,2024-09
arabic,731,2024-09
punjabi,6,2024-09
belarusian,56,2024-09
urdu,15,2024-09
bengali,80,2024-09
marathi,16,2024-09
hindi,10,2024-09
armenian,13,2024-09
tamil,17,2024-09
gujarati,3,2024-09
telugu,4,2024-09
english,5151057,2024-10
korean,296420,2024-10
chinese,193995,2024-10
japanese,86797,2024-10
spanish,53128,2024-10
russian,67806,2024-10
portuguese,42874,2024-10
german,28975,2024-10
french,30011,2024-10
vietnamese,11210,2024-10
dutch,17624,2024-10
italian,5869,2024-10
persian,1693,2024-10
ukrainian,3505,2024-10
bulgarian,432,2024-10
greek,456,2024-10
thai,1048,2024-10
georgian,604,2024-10
arabic,573,2024-10
hebrew,442,2024-10
armenian,23,2024-10
belarusian,61,2024-10
urdu,18,2024-10
tamil,13,2024-10
bengali,39,2024-10
telugu,5,2024-10
punjabi,6,2024-10
gujarati,1,2024-10
marathi,8,2024-10
hindi,9,2024-10
english,2440707,2024-11
korean,216426,2024-11
chinese,98743,2024-11
spanish,44714,2024-11
portuguese,36369,2024-11
japanese,58402,2024-11
russian,24364,2024-11
french,19006,2024-11
german,16161,2024-11
dutch,8647,2024-11
italian,3913,2024-11
vietnamese,7870,2024-11
thai,1325,2024-11
persian,639,2024-11
ukrainian,1386,2024-11
arabic,339,2024-11
greek,282,2024-11
hebrew,340,2024-11
bulgarian,128,2024-11
belarusian,43,2024-11
tamil,6,2024-11
georgian,231,2024-11
urdu,21,2024-11
telugu,27,2024-11
armenian,25,2024-11
bengali,37,2024-11
hindi,4,2024-11
marathi,3,2024-11
gujarati,3,2024-11
punjabi,1,2024-11
english,2192020,2024-12
korean,162781,2024-12
chinese,103519,2024-12
japanese,55606,2024-12
portuguese,26234,2024-12
spanish,25995,2024-12
russian,25541,2024-12
vietnamese,60354,2024-12
french,18754,2024-12
german,13241,2024-12
