language,count,date
english,2960771,2019-01
chinese,130806,2019-01
japanese,44342,2019-01
german,18353,2019-01
french,13634,2019-01
korean,18712,2019-01
spanish,14020,2019-01
russian,23236,2019-01
portuguese,10217,2019-01
thai,1936,2019-01
vietnamese,5499,2019-01
dutch,5366,2019-01
italian,3120,2019-01
greek,399,2019-01
persian,425,2019-01
ukrainian,533,2019-01
belarusian,219,2019-01
arabic,128,2019-01
georgian,22,2019-01
hebrew,403,2019-01
bulgarian,137,2019-01
marathi,9,2019-01
hindi,4,2019-01
tamil,61,2019-01
gujarati,2,2019-01
urdu,6,2019-01
armenian,7,2019-01
bengali,5,2019-01
telugu,1,2019-01
punjabi,1,2019-01
english,3234454,2019-02
chinese,107236,2019-02
japanese,48988,2019-02
russian,33552,2019-02
korean,22640,2019-02
german,22714,2019-02
spanish,16697,2019-02
french,16666,2019-02
portuguese,14817,2019-02
vietnamese,5522,2019-02
dutch,7625,2019-02
italian,3623,2019-02
thai,864,2019-02
persian,627,2019-02
ukrainian,1066,2019-02
belarusian,469,2019-02
hebrew,479,2019-02
tamil,107,2019-02
bulgarian,192,2019-02
greek,390,2019-02
marathi,3,2019-02
arabic,140,2019-02
urdu,17,2019-02
bengali,12,2019-02
hindi,5,2019-02
punjabi,5,2019-02
armenian,156,2019-02
georgian,12,2019-02
telugu,3,2019-02
english,3701891,2019-03
chinese,211850,2019-03
japanese,57148,2019-03
russian,34687,2019-03
korean,22424,2019-03
german,25802,2019-03
portuguese,17864,2019-03
spanish,20680,2019-03
french,19188,2019-03
dutch,8671,2019-03
vietnamese,8184,2019-03
italian,3971,2019-03
armenian,523,2019-03
thai,1100,2019-03
ukrainian,1412,2019-03
persian,646,2019-03
arabic,203,2019-03
greek,565,2019-03
bengali,96,2019-03
belarusian,439,2019-03
hebrew,386,2019-03
georgian,87,2019-03
bulgarian,134,2019-03
urdu,23,2019-03
tamil,22,2019-03
hindi,26,2019-03
marathi,4,2019-03
gujarati,4,2019-03
punjabi,1,2019-03
telugu,2,2019-03
english,3404666,2019-04
chinese,194703,2019-04
japanese,54918,2019-04
russian,36913,2019-04
korean,22501,2019-04
spanish,21129,2019-04
portuguese,19995,2019-04
german,24915,2019-04
dutch,7631,2019-04
french,15609,2019-04
vietnamese,6662,2019-04
italian,3777,2019-04
ukrainian,1410,2019-04
thai,692,2019-04
hebrew,409,2019-04
arabic,252,2019-04
persian,440,2019-04
bulgarian,99,2019-04
greek,442,2019-04
tamil,46,2019-04
georgian,273,2019-04
belarusian,199,2019-04
urdu,15,2019-04
hindi,5,2019-04
gujarati,3,2019-04
punjabi,1,2019-04
armenian,299,2019-04
marathi,5,2019-04
telugu,3,2019-04
