language,count,date
georgian,74,2016-09
greek,173,2016-09
belarusian,28,2016-09
armenian,9,2016-09
urdu,13,2016-09
tamil,2,2016-09
telugu,1,2016-09
bengali,26,2016-09
marathi,5,2016-09
english,2401692,2016-10
chinese,75175,2016-10
japanese,30324,2016-10
russian,22721,2016-10
spanish,15016,2016-10
german,15162,2016-10
portuguese,14017,2016-10
french,10816,2016-10
korean,8710,2016-10
vietnamese,5987,2016-10
italian,2702,2016-10
ukrainian,1540,2016-10
dutch,6216,2016-10
thai,329,2016-10
bulgarian,453,2016-10
persian,211,2016-10
greek,355,2016-10
hebrew,164,2016-10
bengali,44,2016-10
belarusian,63,2016-10
arabic,52,2016-10
tamil,30,2016-10
georgian,222,2016-10
gujarati,5,2016-10
telugu,5,2016-10
armenian,2,2016-10
urdu,7,2016-10
hindi,1,2016-10
marathi,4,2016-10
punjabi,3,2016-10
english,2382714,2016-11
chinese,86817,2016-11
japanese,32883,2016-11
russian,27093,2016-11
german,18608,2016-11
spanish,15954,2016-11
french,14449,2016-11
portuguese,13229,2016-11
korean,9583,2016-11
dutch,5643,2016-11
vietnamese,5860,2016-11
italian,2413,2016-11
ukrainian,1204,2016-11
hebrew,281,2016-11
greek,404,2016-11
thai,275,2016-11
persian,222,2016-11
arabic,65,2016-11
belarusian,20,2016-11
urdu,15,2016-11
armenian,14,2016-11
bulgarian,277,2016-11
georgian,110,2016-11
marathi,5,2016-11
bengali,8,2016-11
tamil,5,2016-11
english,2186410,2016-12
chinese,92804,2016-12
japanese,29068,2016-12
russian,19968,2016-12
german,14553,2016-12
french,11340,2016-12
spanish,11157,2016-12
portuguese,9490,2016-12
korean,8543,2016-12
dutch,4902,2016-12
ukrainian,1808,2016-12
vietnamese,5086,2016-12
italian,1857,2016-12
greek,386,2016-12
persian,210,2016-12
hebrew,428,2016-12
bulgarian,161,2016-12
urdu,14,2016-12
arabic,85,2016-12
thai,118,2016-12
belarusian,15,2016-12
georgian,21,2016-12
bengali,6,2016-12
punjabi,22,2016-12
marathi,4,2016-12
hindi,1,2016-12
tamil,3,2016-12
