language,count,date
english,4859659,2023-01
korean,203131,2023-01
chinese,179366,2023-01
japanese,80208,2023-01
russian,58046,2023-01
german,30796,2023-01
spanish,27612,2023-01
french,28331,2023-01
portuguese,29927,2023-01
dutch,10616,2023-01
vietnamese,4034,2023-01
italian,4885,2023-01
ukrainian,6489,2023-01
persian,758,2023-01
tamil,37,2023-01
arabic,429,2023-01
hebrew,587,2023-01
greek,845,2023-01
belarusian,102,2023-01
bengali,38,2023-01
hindi,30,2023-01
urdu,16,2023-01
thai,1910,2023-01
bulgarian,192,2023-01
armenian,35,2023-01
marathi,24,2023-01
telugu,2,2023-01
georgian,96,2023-01
punjabi,2,2023-01
gujarati,2,2023-01
english,4886846,2023-02
korean,211739,2023-02
chinese,207075,2023-02
japanese,80703,2023-02
russian,66681,2023-02
portuguese,25962,2023-02
german,28170,2023-02
french,25741,2023-02
spanish,30855,2023-02
dutch,10476,2023-02
ukrainian,6553,2023-02
italian,5123,2023-02
vietnamese,4905,2023-02
thai,3261,2023-02
greek,645,2023-02
persian,1272,2023-02
arabic,388,2023-02
hebrew,456,2023-02
bulgarian,286,2023-02
tamil,28,2023-02
armenian,135,2023-02
bengali,78,2023-02
hindi,8,2023-02
georgian,90,2023-02
belarusian,132,2023-02
urdu,10,2023-02
punjabi,9,2023-02
marathi,11,2023-02
gujarati,1,2023-02
english,5306068,2023-03
chinese,275051,2023-03
korean,240961,2023-03
japanese,80841,2023-03
russian,77647,2023-03
spanish,40496,2023-03
portuguese,33089,2023-03
german,26818,2023-03
french,27455,2023-03
ukrainian,6636,2023-03
dutch,11417,2023-03
vietnamese,7356,2023-03
italian,5948,2023-03
thai,1228,2023-03
persian,1372,2023-03
bulgarian,706,2023-03
greek,620,2023-03
arabic,591,2023-03
hebrew,353,2023-03
bengali,115,2023-03
georgian,66,2023-03
belarusian,112,2023-03
armenian,115,2023-03
hindi,22,2023-03
tamil,31,2023-03
marathi,11,2023-03
urdu,15,2023-03
telugu,5,2023-03
gujarati,60,2023-03
punjabi,3,2023-03
english,4674905,2023-04
chinese,428393,2023-04
korean,196053,2023-04
japanese,81975,2023-04
russian,72788,2023-04
spanish,42004,2023-04
portuguese,36363,2023-04
german,25013,2023-04
french,23236,2023-04
vietnamese,8179,2023-04
dutch,14380,2023-04
ukrainian,6527,2023-04
italian,5092,2023-04
persian,2336,2023-04
bulgarian,433,2023-04
arabic,461,2023-04
hebrew,335,2023-04
thai,651,2023-04
greek,702,2023-04
georgian,603,2023-04
belarusian,128,2023-04
punjabi,6,2023-04
tamil,29,2023-04
marathi,17,2023-04
hindi,21,2023-04
armenian,92,2023-04
bengali,43,2023-04
urdu,6,2023-04
gujarati,2,2023-04
telugu,2,2023-04
english,4809733,2023-05
korean,254106,2023-05
chinese,261458,2023-05
japanese,87561,2023-05
russian,68101,2023-05
spanish,46718,2023-05
portuguese,40618,2023-05
german,27392,2023-05
french,22986,2023-05
dutch,11784,2023-05
ukrainian,5888,2023-05
vietnamese,6327,2023-05
persian,2705,2023-05
italian,6008,2023-05
greek,871,2023-05
thai,793,2023-05
arabic,392,2023-05
hebrew,629,2023-05
georgian,847,2023-05
belarusian,213,2023-05
hindi,15,2023-05
tamil,24,2023-05
bengali,124,2023-05
marathi,11,2023-05
urdu,5,2023-05
armenian,16,2023-05
bulgarian,150,2023-05
punjabi,2,2023-05
telugu,2,2023-05
gujarati,4,2023-05
english,4686408,2023-06
korean,212276,2023-06
chinese,210064,2023-06
japanese,91573,2023-06
russian,64261,2023-06
spanish,40945,2023-06
portuguese,39736,2023-06
german,24763,2023-06
french,22925,2023-06
ukrainian,6436,2023-06
vietnamese,6390,2023-06
dutch,11247,2023-06
italian,5366,2023-06
persian,2381,2023-06
belarusian,309,2023-06
arabic,378,2023-06
hebrew,933,2023-06
thai,681,2023-06
georgian,649,2023-06
armenian,21,2023-06
bulgarian,188,2023-06
greek,608,2023-06
bengali,98,2023-06
tamil,16,2023-06
marathi,10,2023-06
hindi,17,2023-06
gujarati,7,2023-06
urdu,9,2023-06
punjabi,1,2023-06
english,4740620,2023-07
chinese,223817,2023-07
korean,257915,2023-07
japanese,91620,2023-07
russian,66253,2023-07
portuguese,32048,2023-07
spanish,30959,2023-07
german,22434,2023-07
french,21297,2023-07
ukrainian,6234,2023-07
vietnamese,5987,2023-07
italian,4973,2023-07
dutch,14026,2023-07
persian,1985,2023-07
thai,903,2023-07
hebrew,731,2023-07
greek,568,2023-07
arabic,424,2023-07
georgian,429,2023-07
