language,count,date
belarusian,157,2023-07
armenian,63,2023-07
bulgarian,126,2023-07
urdu,11,2023-07
bengali,28,2023-07
telugu,4,2023-07
punjabi,4,2023-07
tamil,20,2023-07
gujarati,4,2023-07
hindi,5,2023-07
marathi,7,2023-07
english,4882983,2023-08
korean,298575,2023-08
chinese,227893,2023-08
japanese,86555,2023-08
russian,60621,2023-08
portuguese,39773,2023-08
spanish,30081,2023-08
german,23863,2023-08
french,18353,2023-08
dutch,12231,2023-08
ukrainian,5991,2023-08
vietnamese,6389,2023-08
persian,1190,2023-08
italian,3184,2023-08
thai,1049,2023-08
belarusian,435,2023-08
arabic,506,2023-08
hebrew,521,2023-08
greek,382,2023-08
georgian,353,2023-08
bulgarian,98,2023-08
bengali,35,2023-08
telugu,6,2023-08
armenian,79,2023-08
marathi,3,2023-08
hindi,10,2023-08
tamil,9,2023-08
urdu,7,2023-08
gujarati,1,2023-08
english,4782782,2023-09
korean,258266,2023-09
chinese,202953,2023-09
japanese,84865,2023-09
russian,62418,2023-09
spanish,38587,2023-09
portuguese,43123,2023-09
german,23712,2023-09
french,23559,2023-09
ukrainian,6083,2023-09
vietnamese,6732,2023-09
dutch,9065,2023-09
italian,5125,2023-09
arabic,274,2023-09
thai,1391,2023-09
persian,2294,2023-09
belarusian,160,2023-09
greek,357,2023-09
hebrew,308,2023-09
georgian,241,2023-09
urdu,22,2023-09
bulgarian,1418,2023-09
bengali,29,2023-09
marathi,5,2023-09
armenian,30,2023-09
hindi,20,2023-09
gujarati,2,2023-09
tamil,22,2023-09
telugu,2,2023-09
english,5199877,2023-10
korean,252325,2023-10
chinese,186366,2023-10
japanese,90598,2023-10
russian,75032,2023-10
portuguese,44943,2023-10
spanish,44993,2023-10
german,26845,2023-10
french,25824,2023-10
dutch,10457,2023-10
ukrainian,6423,2023-10
vietnamese,8291,2023-10
italian,6927,2023-10
persian,1895,2023-10
thai,969,2023-10
arabic,344,2023-10
bulgarian,278,2023-10
greek,425,2023-10
bengali,83,2023-10
georgian,234,2023-10
hebrew,735,2023-10
belarusian,208,2023-10
urdu,20,2023-10
armenian,31,2023-10
tamil,6,2023-10
hindi,12,2023-10
gujarati,2,2023-10
telugu,3,2023-10
marathi,3,2023-10
punjabi,5,2023-10
english,2928424,2023-11
korean,217312,2023-11
chinese,129083,2023-11
japanese,51680,2023-11
russian,43346,2023-11
spanish,29836,2023-11
portuguese,24235,2023-11
german,16739,2023-11
french,16874,2023-11
dutch,6438,2023-11
vietnamese,5015,2023-11
ukrainian,3348,2023-11
persian,1206,2023-11
italian,4202,2023-11
thai,734,2023-11
hebrew,330,2023-11
arabic,147,2023-11
greek,339,2023-11
bulgarian,223,2023-11
georgian,151,2023-11
belarusian,71,2023-11
armenian,12,2023-11
hindi,13,2023-11
urdu,7,2023-11
bengali,21,2023-11
marathi,8,2023-11
tamil,2,2023-11
punjabi,1,2023-11
telugu,1,2023-11
english,2844720,2023-12
korean,138580,2023-12
chinese,138562,2023-12
russian,44187,2023-12
japanese,56862,2023-12
spanish,19931,2023-12
portuguese,18879,2023-12
french,16072,2023-12
german,16496,2023-12
dutch,6351,2023-12
italian,4523,2023-12
vietnamese,4293,2023-12
georgian,251,2023-12
ukrainian,3658,2023-12
persian,1555,2023-12
thai,1212,2023-12
greek,292,2023-12
arabic,229,2023-12
bulgarian,133,2023-12
hebrew,244,2023-12
hindi,6,2023-12
belarusian,69,2023-12
bengali,21,2023-12
urdu,22,2023-12
marathi,4,2023-12
tamil,9,2023-12
telugu,10,2023-12
armenian,6,2023-12
gujarati,2,2023-12
